station_cd,station_g_cd,station_name,station_name_k,station_name_r,station_name_zh,station_name_ko,primary_station_number,secondary_station_number,extra_station_number,three_letter_code,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
100807,1123106,新白河,シンシラカワ,Shin-Shirakawa,新白河,신시라카와,,,,,1008,7,961-8052,福島県西白河郡西郷村字道南東,140.188998,37.123281,1944-10-11,0000-00-00,3,100807
100808,1123114,郡山,コオリヤマ,Kōriyama,郡山,고리야마,,,,,1008,7,963-8003,福島県郡山市字燧田195,140.388412,37.397983,1887-07-16,0000-00-00,3,100808
100809,1123124,福島,フクシマ,Fukushima,福岛,후쿠시마,,,,,1008,7,960-8031,福島県福島市栄町1-1,140.458724,37.754311,1887-12-15,0000-00-00,3,100809
100810,100410,白石蔵王,シロイシザオウ,Shiroishizaō,白石藏王,시로이시자오,,,,,1008,4,989-0213,宮城県白石市大鷹沢三沢字桜田11-1,140.633035,37.995485,1982-06-23,0000-00-00,3,100810
100811,1123143,仙台,センダイ,Sendai,仙台,센다이,,,,,1008,4,980-0021,宮城県仙台市青葉区中央一丁目1-1,140.882244,38.260286,1887-12-15,0000-00-00,3,100811
100812,1122104,古川,フルカワ,Furukawa,古川,후루카와,,,,,1008,4,989-6162,宮城県大崎市古川駅前大通一丁目7-35,140.967832,38.57092,1913-04-20,0000-00-00,3,100812
100813,100413,くりこま高原,クリコマコウゲン,Kurikoma-Kōgen,栗驹高原,구리코마 코겐,,,,,1008,4,989-5612,宮城県栗原市志波姫新熊谷284,141.071785,38.74893,1990-03-10,0000-00-00,3,100813
100814,1123166,一ノ関,イチノセキ,Ichinoseki,一之关,이치노세키,,,,,1008,3,021-0867,岩手県一関市駅前67-1,141.13889,38.92608,1890-04-16,0000-00-00,3,100814
100815,100415,水沢江刺,ミズサワエサシ,Mizusawaesashi,水泽江刺,미즈사와에사시,,,,,1008,3,023-0104,岩手県奥州市水沢区羽田町駅前一丁目185,141.188803,39.145194,1985-03-14,0000-00-00,3,100815
100816,1123174,北上,キタカミ,Kitakami,北上,기타카미,,,,,1008,3,024-0061,岩手県北上市大通り一丁目1-2,141.122598,39.282229,1890-11-01,0000-00-00,3,100816
100817,1120903,新花巻,シンハナマキ,Shin-Hanamaki,新花卷,신하나마키,,,,,1008,3,025-0011,岩手県花巻市矢沢第10地割87-7,141.173715,39.406453,1985-03-14,0000-00-00,3,100817
100818,1123185,盛岡,モリオカ,Morioka,盛冈,모리오카,,,,,1008,3,020-0034,岩手県盛岡市盛岡駅前通1-48,141.136369,39.701683,1890-11-01,0000-00-00,0,100818
100819,1121104,雫石,シズクイシ,Shizukuishi,雫石,시즈쿠이시,,,,,1008,3,020-0524,岩手県岩手郡雫石町寺の下46-3,140.974848,39.689352,1921-06-25,0000-00-00,0,100819
